id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
134958,"Сыр плавленый Hochland Сливочный 35%, 100г",products/plavlenyj-hochland-slivochnyj-35-100g-bzmzh,64.90,,HOCHLAND
134954,"Сыр плавленый Hochland Чизбургер 45%, 150г",products/plavlenyj-hochland-chizburger-45-150g-bzmzh,128,,HOCHLAND
134940,"Сыр плавленый Hochland сливочный 55%, 400г",products/plavlennyj-hochland-slivochnyj-55-400g-bzmzh,289,279,HOCHLAND
132378,"Сыр Карат Дружба плавленый 55%, 90г",products/syr-plavlennyy-45-karat-druzhba-brusok-400g-bzmzh,,39.90,КАРАТ
254050,"Сыр плавленый President сливочный, 400г",products/president-slivochnyj-400-g-bzmzh,296,,PRESIDENT
90740,"Сыр плавленый Viola Чеддер 60%, 140г",products/slivochnyj-valio-viola-chetyre-60-140g-bzmzh,117,94.90,VIOLA
534752,"Сыр плавленый Hochland со Швейцарским сыром, 200г",products/hochland-so-shvejcarskim-200g-bzmzh,172,129,HOCHLAND
522268,"Сыр плавленый Viola сливочный 50%, 400г",products/valio-viola-400-g-bzmzh,329,,VIOLA
132380,"Сыр плавленый Карат для супа с луком 45%, 90г",products/syr-plavlennyy-45-dlya-supa-s-lukom-90g-bzmzh,45.49,41.90,КАРАТ
458371,"Сыр Город сыра копченый колбасный 40%, 150г",products/kolbasnyj-kopchenyj-gorod-150g-bzmzh,116,,ГОРОД СЫРА
576012,"Сыр плавленый Viola сливочный, 140г",products/viola-slivochnyj-140g-bzmzh,117,94.90,VIOLA
531397,"Сыр плавленый Карат шоколадный 30%, 230г",products/karat-shokoladnyj-30-230-g-bzmzh,144,,КАРАТ
88248,"Сыр плавленый President Бри 45%, 200г",products/art_88248,166,139,PRESIDENT
277070,"Сыр плавленый President Сливочный, 150г",products/president-master-buterbrodov-slivochnyj-150g-bzmzh,134,,PRESIDENT
622810,"Сыр President Чеддер плавленый ломтики 40%, 150г",products/president-chedder-40-lomtikami-150g-bzmzh,134,,PRESIDENT
385715,"Сыр плавленый Viola Финское избранное, 130г",products/viola-slivochnyj-finskoe-izbrannoe-130g-bzmzh,99.90,94.90,VIOLA
88183,"Сыр плавленый Карат сливочный 45%, 200г",products/art_88183,106,94.90,КАРАТ
132383,"Сыр плавленый 45% Карат дружба, 400г",products/syr-plavlennyy-45-karat-druzhba-400g-bzmzh,219,,КАРАТ
666473,"Сыр плавленый Viola Четыре сыра в ломтиках 45%, 140г",products/viola-slivochnyj-45-lomtiki-140g,117,94.90,VIOLA
622806,"Сыр President Чизбургер плавленый ломтики 40%, 150г",products/president-chizburger-40-lomtikami-150g-bzmzh,134,,PRESIDENT
666474,"Сыр плавленый Viola сливочный 45%, 180г",products/slivochnyj-viola-doj-pak-45-180g-mdzh,149,119,VIOLA
132381,"Сыр плавленый Карат для супа с грибами 45%, 90г",products/syr-plavlennyy-45-dlya-supa-s-gribami-90g-bzmzh,45.49,41.90,КАРАТ
663845,"Сыр President Крем де Блю, 125г",products/president-creme-de-bleu-125g-bzmzh,209,139,PRESIDENT
134953,"Сыр плавленый Hochland Сэндвич 45%, 150г",products/plavlenyj-hochland-sendvich-45-150g-bzmzh,128,,HOCHLAND
116686,"Сыр плавленый Карат с зеленью 45%, 90г",products/karat-s-zelenyu-45-90-g-bzmzh,45.49,42.49,КАРАТ
611256,Сыр плавленый Viola сливочный 130г,products/viola-slivochnyj-bez-dobavok-130g-bzmzh,99.90,94.90,VIOLA
663844,"Сыр плавленый President Creme De Camembert, 125г",products/president-creme-de-camembert-125g-bzmzh,209,139,PRESIDENT
561793,"Сыр плавленый Viola сливочный, 200г",products/viola-slivochnyj-200-g-bzmzh,186.99,,VIOLA
98478,"METRO Chef Сыр Чеддер плавленый 45%, 738г",products/metro-chef-chedder-45-bzmzh-738-g,609.01,,METRO CHEF
88557,"Сыр плавленый President сливочный 45%, 200г",products/slivochnyj-president-45-200g-bzmzh,166,139,PRESIDENT
218276,"Сыр Карат плавленный сливочный слайсы 25%, 130г",products/130g-syr-plavlenyy-25-karat-slivochnyy-slaysy-bzmzh,83.90,79.90,КАРАТ
385716,"Сыр плавленый Viola Итальянское избранное, 130г",products/viola-slivochnyj-italyanskoe-izbrannoe-130g-bzmzh,99.90,94.90,VIOLA
254051,"Сыр плавленый President с ветчиной, 400г",products/art_254051,296,,PRESIDENT
132382,"Сыр Карат Янтарь плавленый 45%, 400г",products/syr-plavlennyy-45-karat-yantar-400g-bzmzh,219,,КАРАТ
404767,"Сыр President сливочный, 300г",products/slivochnyj-president-master-buterbroda-300-g-bzmzh,249,,PRESIDENT
134936,"Сыр плавленый Hochland Ассорти синее 50%, 140г",products/plavlennyj-hochland-assorti-sinee-50-140g-bzmzh,134,,HOCHLAND
137354,"Сыр плавленый Viola с лисичками нарезка 45%, 140г",products/syr-plavlennyy-viola-s-lisichkami-narezka-45-140g-bzmzh,117,94.90,VIOLA
220874,"Сыр плавленый President шоколадный 30%, 400г",products/president-shokoladnyj-400-g-bzmzh,296,,PRESIDENT
132379,"Сыр плавленый 45% Карат Волна брусок, 90г",products/syr-plavlennyy-45-karat-volna-brusok-90g-bzmzh,,39.90,КАРАТ
72776,"Сыр плавленый President сливочный, 140г",products/art_72776,128,,PRESIDENT
134955,"Сыр плавленый Hochland с ветчиной 45%, 150г",products/plavlenyj-hochland-s-vetchinoj-45-150g-bzmzh,128,,HOCHLAND
346538,"Сыр плавленый Hochland Маасдам, 150г",products/hochland-tostovyj-maasdam-150g-bzmzh,128,,HOCHLAND
14585,"Сыр Карат Янтарь плавленый 45%, 230г",products/karat-yantar-45-230-g,146,,КАРАТ
214931,"Сыр плавленый Карат Янтарь ломтиками 25%, 130г",products/130g-syr-plavlenyy-yantar-25-karat-slaysy-bzmzh,74.90,64.90,КАРАТ
88182,"Сыр плавленый Карат с кусочками ветчины, 200г",products/art_88182,106,94.90,КАРАТ
218279,"Сыр Карат плавленый с ветчиной слайсы 25%, 130г",products/130g-syr-plavlenyy-25-karat-s-vetchinoy-slaysy-bzmzh,83.90,79.90,КАРАТ
68641,"Продукт плавленый Город сыра колбасный копченый 40%, ~800г",products/gorod-kolbasnyj-kopchenyj-08-kg-bzmzh,169,,ГОРОД СЫРА
573688,"Сыр плавленый Карат сливочный, 400г",products/karat-slivochnyj-400g-bzmzh,249,,КАРАТ
106972,"Сыр Карат шоколадно-ореховый десертный плавленый 30%, 230г",products/karat-shokoladno-orehovyj-desertnyj-30-230-g,144,,КАРАТ
662320,"Сыр Viola Четыре Сыра плавленый 45%, 130г",products/valio-viola-chetyre-8-porcij-45-130g-bzmzh,99.90,94.90,VIOLA
116687,"Сыр плавленый Карат с лососем 45%, 90г",products/karat-s-lososem-45-90-g-bzmzh,51.90,45.90,КАРАТ
216562,"Сыр Viola плавленный ветчина нарезка 45%, 140г",products/140g-syr-plavlenyy-45-viola-vetchina-narezka-bzmzh,117,94.90,VIOLA
134957,"Сыр плавленый Hochland сливочный с ветчиной 45%, 150г",products/plavlenyj-hochland-slivochnyj-s-vetchinoj-45-150g-bzmzh,128,,HOCHLAND
667678,"Сыр плавленый Hochland сливочный, 150г",products/hochland-klassicheskij-slivochnyj-150g,128,,HOCHLAND
218282,"Сыр Карат плавленный ассорти 25% круг, 130г",products/130g-syr-plavlenyy-25-karat-assorti-krug-bzmzh,106,84.90,КАРАТ
277076,"Сыр President Маасдам плавленый, 150г",products/president-master-buterbrodov-maazdam-150-g,134,,PRESIDENT
561791,"Сыр плавленый Viola с лисичками 50%, 400г",products/valio-viola-s-lisichkami-400g-bzmzh,329,,VIOLA
226962,"Сыр Карат плавленный сливочный с грибами 45%, 200г",products/200g-syr-plavlenyy-45-karat-slivochnyy-s-gribami-bzmzh,106,94.90,КАРАТ
134938,"Сыр плавленый Hochland с ветчиной 50%, 140г",products/plavlennyj-hochland-s-vetchinoj-50-140g-bzmzh,134,,HOCHLAND
21714,"Сыр плавленый President с ветчиной, 140г",products/president-s-vetchinoj-8-treugolnikov-140-g-bzmzh,128,,PRESIDENT
135188,"Сыр плавленый Viola копченый лосось 45%, 130г",products/plavlennyj-viola-kopchenyj-losos-45-130g,99.90,94.90,VIOLA
465113,"Сыр плавленый Viola с белыми грибами, 130г",products/viola-s-belymi-gribami-130-g-bzmzh,99.90,94.90,VIOLA
134956,"Сыр плавленый Hochland с грибами 45%, 150г",products/plavlenyj-hochland-s-gribami-45-150g-bzmzh,128,,HOCHLAND
116688,"Сыр плавленый Карат с белыми грибами 45%, 90г",products/karat-s-belymi-gribami-45-90-g-bzmzh,51.90,45.90,КАРАТ
106974,"Сыр Карат карамельный десертный плавленый 30%, 230г",products/karat-karamelnyj-desertnyj-30-230-g,144,,КАРАТ
135190,"Сыр плавленый Viola четыре сыра 50%, 400г",products/plavlennyj-viola-chetyre-50-400g-bzmzh,329,,VIOLA
120585,"Сыр плавленый Viola с креветками 35%, 400г",products/400g-50-viola-s-krevetkami-bzmzh,329,,VIOLA
663846,"Сыр плавленый President Классическая коллекция, 140г",products/president-klassicheskaya-kollekciya-140g,128,,PRESIDENT
216732,"Сыр Viola плавленный грибной жульен 35%, 400г",products/syr-viola-plavlennyy-gribnoy-zhulen-35-400g,329,,VIOLA
21718,"Сыр плавленый President с грибами, 140г",products/president-s-gribami-8-treugolnikov-140-g-bzmzh,128,,PRESIDENT
135191,"Сыр плавленый Viola лисички 50%, 200г",products/plavlennyj-viola-lisichki-50-200g-bzmzh,186.99,,VIOLA
666472,"Сыр плавленый Viola 4 сыра 50%, 200г",products/viola-4-50-200g-bzmzh,186.99,,VIOLA
120579,"Сыр плавленый Hochland Ассорти сливочный с беконом, 140г",products/slivochnyj-hochland-assorti-s-bekonom-140g-bzmzh,134,,HOCHLAND
134959,"Сыр плавленый Hochland Ассорти с грибами 50%, 140г",products/plavlennyj-hochland-assorti-s-gribami-50-140g-bzmzh,134,,HOCHLAND
585119,"Сыр плавленый Карат с кусочками ветчины, 400г",products/karat-s-vetchinoj-400-g-bzmzh,249,,КАРАТ
78119,"Сыр плавленый President Маасдам, 140г",products/art_78119,128,,PRESIDENT
528064,"Сыр плавленый Valio Viola с беконом, 400г",products/valio-viola-s-bekonom-400-g-bzmzh,329,,VIOLA
216557,"Сыр Viola плавленный курочка гриль 35%, 400г",products/400g-syr-plavlenyy-35-viola-kurochka-gril-bzmzh,329,,VIOLA
135189,"Сыр плавленый Viola лосось 35%, 400г",products/plavlennyj-viola-losos-35-400g-bzmzh,329,,VIOLA
254052,"Сыр плавленый President с грибами, 400г",products/art_254052,296,,PRESIDENT
226167,"Сыр плавленый President Маасдам 45%, 400г",products/400g-plavlenyy-syr-45-president-maasdam-bzmzh,245,,PRESIDENT
553286,"Продукт сырный Порховский МСЗ копченый 40%, ~1.3кг",products/produkt-40-porhovskij-msz-kopchenyj-13kg,242,,ПОРХОВСКИЙ МСЗ
585074,"Сыр плавленый Карат с кусочками лесных грибов, 400г",products/karat-s-gribami-400-g-bzmzh,249,,КАРАТ
136303,"Сыр Аланталь плавленый сливочный батончики 40%, 190г",products/syr-atlantal-plavlennyy-slivochnyy-batonchiki-40-190g,169.01,,АЛАНТАЛЬ
203415,"Сыр Карат плавленый кисломолочный, 90г",products/90g-syr-plavlenyy-45-karat-kislomolochnyy-bzmzh,,39.90,КАРАТ
116689,"Сыр плавленый Карат с ветчиной 45%, 90г",products/karat-s-vetchinoj-45-90-g-bzmzh,51.90,45.90,КАРАТ
215076,"aro Продукт молокосодержащий сливочный 40%, 500г",products/05-kg-molokosod-prod-slivochnyy-40-aro,176.01,,ARO
14603,"Сыр Карат Дружба плавленый 45%, 230г",products/karat-druzhba-45-230-g,146,,КАРАТ
120584,"Сыр плавленый Viola Колбаски гриль 50%, 400г",products/400g-50-viola-kolbaski-gril-bzmzh,329,,VIOLA
329085,"Сыр President плавленый с грибами, 150г",products/president-master-buterbrodov-s-gribami-150-g-bzmzh,134,,PRESIDENT
329082,"Сыр плавленый President с ветчиной, 150г",products/president-master-buterbrodov-s-vetchinoj-150-g-bzmzh,134,,PRESIDENT
136304,"Сыр Ольхово плавденнвй копченый слайсы 40%, 125г",products/syr-olhovo-plavdennvy-kopchenyy-slaysy-40-125g,116,,ОЛЬХОВО
136302,"Сыр Аланталь плавленый копченый батончики 40%, 190г",products/syr-atlantal-plavlennyy-kopchenyy-batonchiki-40-190g,169.01,,АЛАНТАЛЬ
236024,"Сыр плавленый President копченые колбаски 45%, 400г",products/syr-plavlenyy-president-kopchenye-kolbaski-45-400g,299,,PRESIDENT
235833,"Сыр плавленый Ольхово копченый 40%, 190г",products/syr-plavlenyy-olhovo-kopchenyy-40-190g,175,149.01,ОЛЬХОВО
134952,"Сыр плавленый Hochland сливочный 55%, 200г",products/plavlennyj-hochland-slivochnyj-55-200g-bzmzh,172,129,HOCHLAND
213080,"Сыр Hochland плавленый Бистро чеддер 45%, 1.107кг",products/1107kg-syr-plavlennyy-45-hochland-prof-bistro-chedder-bzmzh,999,,HOCHLAND
134941,"Сыр плавленый Hochland с грибами 55%, 400г",products/plavlennyj-hochland-s-gribami-55-400g-bzmzh,289,279,HOCHLAND
134943,"Сыр плавленый Hochland с ветчиной 55%, 200г",products/plavlennyj-hochland-s-vetchinoj-55-200g-bzmzh,172,129,HOCHLAND
134944,"Сыр плавленый Hochland с грибами 55%, 200г",products/plavlennyj-hochland-s-gribami-55-200g-bzmzh,172,129,HOCHLAND
666475,"Сыр плавленый Viola 4 сыра 45%, 180г",products/slivochnyj-viola-4-doj-pak-45-180g-mdzh,149,119,VIOLA
134935,"Сыр плавленый Hochland Ассорти зеленое 45-50%, 140г",products/plavlennyj-hochland-assorti-zelenoe-45-50-140g-bzmzh,134,,HOCHLAND
663835,"Сыр President Creme De Chevre плавленый, 125г",products/president-creme-de-chevre-125g-bzmzh,209,139,PRESIDENT
663842,"Сыр плавленый President Creme De Brie, 125г",products/president-creme-de-brie-125g-bzmzh,209,139,PRESIDENT
214929,"Сыр плавленый Карат Дружба ломтиками 25%, 130г",products/130g-syr-plavlenyy-druzhba-25-karat-slaysy-bzmzh,74.90,64.90,КАРАТ
134937,"Сыр плавленый Hochland сливочный 50%, 140г",products/plavlennyj-hochland-slivochnyj-50-140g-bzmzh,134,,HOCHLAND
134960,"Сыр плавленый Hochland Ассорти желтое 50%, 140г",products/plavlennyj-hochland-assorti-zheltoe-50-140g-bzmzh,134,,HOCHLAND
666127,"Сыр плавленый Экомилк Сливочный 55%, 400г",products/syr-ekomilk-plavlenyj-400-g,199,189,ЭКОМИЛК
530840,"Сыр плавленый Аланталь копченый, 240г",products/alantal-kopchenyj-240g-bzmzh,176,,АЛАНТАЛЬ
553285,"Сыр плавленый Порховский МСЗ копченый 40%, ~400г",products/porhovskij-msz-kopchenyj-40-400-g,699.50,,ПОРХОВСКИЙ МСЗ
218280,"Сыр Карат плавленный сливочный круг 25%, 130г",products/130g-syr-plavlenyy-25-karat-slivochnyy-krug-bzmzh,106,84.90,КАРАТ
235843,"Сыр плавленый Ольхово копченый 40%, 200г",products/syr-plavlenyy-olhovo-kopchenyy-40-200g,186,,ОЛЬХОВО
553284,"Сыр плавленый Аланталь копченый 40%, ~500г",products/alantal-kopchenyj-40-500g,749.30,,АЛАНТАЛЬ
134958,"Сыр плавленый Hochland Сливочный 35%, 100г",products/plavlenyj-hochland-slivochnyj-35-100g-bzmzh,64.90,,HOCHLAND
